id"checkpoint_id"camper_id"checkin"checkin_date"created"updated
312"341"28353"t"2017-10-09 07:57:27.50914-05"2017-10-09 07:57:27.528362-05"2017-10-09 07:57:27.528389-05
313"341"28625"t"2017-10-09 07:57:33.228962-05"2017-10-09 07:57:33.263583-05"2017-10-09 07:57:33.26361-05
314"341"28555"t"2017-10-09 07:57:36.298751-05"2017-10-09 07:57:36.329364-05"2017-10-09 07:57:36.329409-05
315"341"28376"t"2017-10-09 07:57:42.815065-05"2017-10-09 07:57:42.82876-05"2017-10-09 07:57:42.828786-05
316"341"28409"t"2017-10-09 07:57:45.707786-05"2017-10-09 07:57:45.73109-05"2017-10-09 07:57:45.731118-05
317"341"28424"t"2017-10-09 07:57:49.249209-05"2017-10-09 07:57:49.273183-05"2017-10-09 07:57:49.273211-05
318"341"28573"t"2017-10-09 07:57:54.961211-05"2017-10-09 07:57:54.978-05"2017-10-09 07:57:54.978026-05
319"341"28441"t"2017-10-09 07:57:57.82234-05"2017-10-09 07:57:57.849543-05"2017-10-09 07:57:57.84957-05
320"341"28694"t"2017-10-09 07:58:02.842254-05"2017-10-09 07:58:02.865855-05"2017-10-09 07:58:02.865892-05
321"341"28693"t"2017-10-09 07:58:05.368582-05"2017-10-09 07:58:05.420238-05"2017-10-09 07:58:05.420281-05
322"341"28454"t"2017-10-09 07:58:09.973806-05"2017-10-09 07:58:10.015581-05"2017-10-09 07:58:10.015622-05
323"341"26071"t"2017-10-09 07:58:13.496249-05"2017-10-09 07:58:13.5412-05"2017-10-09 07:58:13.541241-05
324"341"28391"t"2017-10-09 07:58:30.622571-05"2017-10-09 07:58:30.657866-05"2017-10-09 07:58:30.657914-05
325"341"28453"t"2017-10-09 07:58:51.92616-05"2017-10-09 07:58:51.972281-05"2017-10-09 07:58:51.97233-05
326"341"26154"t"2017-10-09 07:58:55.155916-05"2017-10-09 07:58:55.187483-05"2017-10-09 07:58:55.187523-05
327"341"26064"t"2017-10-09 07:58:55.737295-05"2017-10-09 07:58:55.767936-05"2017-10-09 07:58:55.767976-05
328"341"28386"t"2017-10-09 07:59:07.098612-05"2017-10-09 07:59:07.139744-05"2017-10-09 07:59:07.139784-05
329"341"28578"t"2017-10-09 07:59:07.319949-05"2017-10-09 07:59:07.360085-05"2017-10-09 07:59:07.360126-05
330"341"28412"t"2017-10-09 07:59:11.975645-05"2017-10-09 07:59:12.002294-05"2017-10-09 07:59:12.002333-05
331"341"28676"t"2017-10-09 07:59:16.864729-05"2017-10-09 07:59:16.883213-05"2017-10-09 07:59:16.883279-05
332"341"28675"t"2017-10-09 07:59:22.859343-05"2017-10-09 07:59:22.887872-05"2017-10-09 07:59:22.887924-05
333"341"28383"t"2017-10-09 07:59:26.265962-05"2017-10-09 07:59:26.295488-05"2017-10-09 07:59:26.295529-05
334"341"28380"t"2017-10-09 07:59:32.580589-05"2017-10-09 07:59:32.622204-05"2017-10-09 07:59:32.622243-05
335"341"26049"t"2017-10-09 07:59:39.969956-05"2017-10-09 07:59:40.011226-05"2017-10-09 07:59:40.01131-05
336"341"28658"t"2017-10-09 08:00:36.430549-05"2017-10-09 08:00:36.471953-05"2017-10-09 08:00:36.471994-05
337"341"28506"t"2017-10-09 08:00:49.681579-05"2017-10-09 08:00:49.719693-05"2017-10-09 08:00:49.719752-05
338"341"28575"t"2017-10-09 08:00:53.851201-05"2017-10-09 08:00:53.890811-05"2017-10-09 08:00:53.890851-05
339"341"28671"t"2017-10-09 08:00:55.712653-05"2017-10-09 08:00:55.759548-05"2017-10-09 08:00:55.759589-05
340"341"28387"t"2017-10-09 08:00:57.391321-05"2017-10-09 08:00:57.423555-05"2017-10-09 08:00:57.423595-05
